Codigo_Dane_Institucion_Inicial,2019,2020,2021,2022,2023,2024,Codigo_Dane_Institucion_Final,Id,Año_Vigencia,Id_Codigo_Dane_Institucion,Id_Codigo_Dane_Sede,Id_consecutivosede,Nombre_Establecimiento,Nombre_Sede_SIMAT,Comuna,Nucleo,Estrato,Id_genero,Poblacion_Victima,Id_Discapacidad,Id_Capacidades,Id_Etnias,Id_Jornada,Id_Caracter,Id_especialidad,Id_grado,Grupo,Id_nivel,Id_metodologia,Repitente,Nuevo,Id_fuenterecursos,Id_zona,Id_apoyoacademico,Id_srpa,Id_paisorigen,Id_trastornosespecificios
2.66001E+11,6,23,999,999,999,999,999,32534527,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E JOSE ANTONIO GALAN,I.E JOSE ANTONIO GALAN,29,1,1,2,9,99,9,0,2,0,0,6,601,6,1,N,N,1,2,1,3,0,0
1.66001E+11,6,999,999,999,999,999,999,32535313,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E HANS DREWS ARANGO,I.E HANS DREWS ARANGO,27,2,1,1,9,99,9,0,6,0,0,6,603,6,1,N,N,1,2,0,0,0,0
2.66001E+11,6,6,7,999,999,999,999,32536868,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E GABRIEL TRUJILLO,I.E GABRIEL TRUJILLO,5,6,1,2,9,99,9,0,2,0,0,6,604,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,32540888,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,2,2,9,99,9,0,3,0,0,6,D,6,1,N,S,1,1,4,3,0,0
2.66001E+11,6,999,999,999,999,999,999,32545071,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E CARLOS EDUARDO  VASCO,I.E CARLOS EDUARDO  VASCO,19,2,1,2,9,99,9,0,2,0,0,6,603,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,32546052,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS sede SAN VICENTE,31,7,1,1,9,99,9,27,2,0,0,6,605,6,29,N,S,1,1,0,0,0,0
3.66001E+11,6,7,7,999,999,999,999,32546694,2019,3.66001E+11,3.66001E+11,3.66001E+13,I.E COMPARTIR LAS BRISAS,I.E COMPARTIR LAS BRISAS,31,7,1,1,9,99,9,0,2,0,0,6,604,6,1,N,N,1,1,0,0,0,0
1.66001E+11,6,24,24,999,24,999,999,32547093,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E GIMNASIO RISARALDA,I.E GIMNASIO RISARALDA,26,4,1,2,9,99,9,0,3,0,0,6,6A,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,24,25,26,999,999,999,32547101,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS,31,7,1,1,1,99,9,97,3,0,0,6,604,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,999,999,23,999,999,999,32547102,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS sede SAN VICENTE,31,7,1,1,1,8,9,0,2,0,0,6,605,6,29,N,N,1,1,1,1,0,0
1.66001E+11,6,23,24,25,999,999,999,32547114,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS,31,7,1,2,1,99,9,27,3,0,0,6,604,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,24,26,999,999,999,999,32547142,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS,31,7,1,2,1,99,9,97,3,0,0,6,604,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,33940988,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E HANS DREWS ARANGO,I.E HANS DREWS ARANGO,27,2,2,2,9,99,9,0,2,0,0,6,601,6,29,N,S,1,1,1,1,0,0
2.66001E+11,6,999,999,999,999,999,999,33965762,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E CARLOS EDUARDO  VASCO,I.E CARLOS EDUARDO  VASCO,19,2,2,1,9,3,9,0,2,0,0,6,601,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,9,9,999,999,999,999,34138818,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E FRANCISCO DE PAULA SANTANDER,I.E FRANCISCO DE PAULA SANTANDER,32,7,2,1,9,99,9,0,6,0,0,6,6CM1,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,7,24,999,24,26,1.66001E+11,35136619,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E LENINGRADO,I.E LENINGRADO,27,2,0,2,9,19,9,0,3,0,0,6,602,6,1,N,N,1,2,1,1,0,0
1.66001E+11,6,7,24,26,999,999,999,35136716,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E KENNEDY,I.E KENNEDY,21,7,1,1,9,99,9,0,3,0,0,6,6G,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,38020901,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,5,2,9,99,9,0,3,0,0,6,D,6,1,N,N,1,1,4,3,0,0
2.66001E+11,6,7,8,9,10,11,1.66002E+11,39171127,2019,2.66001E+11,1.66002E+11,2.66001E+13,I.E CARLOS EDUARDO  VASCO,SALAMANCA,23,2,1,2,9,99,9,27,6,0,0,6,602,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,40018278,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E GIMNASIO RISARALDA,I.E GIMNASIO RISARALDA,26,4,1,2,1,99,9,0,3,0,0,6,6B,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,8,10,11,999,999,999,42373863,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,1,1,9,99,9,0,3,0,0,6,601,6,29,N,N,1,1,1,1,0,0
2.66001E+11,6,999,999,999,999,999,999,42454039,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E LA PALMILLA,I.E LA PALMILLA,17,2,2,2,9,99,9,0,6,0,0,6,601,6,1,S,S,1,2,1,1,0,0
2.66001E+11,6,7,24,26,999,999,999,43706648,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E COMBIA,I.E COMBIA,9,5,2,1,9,99,9,0,2,0,0,6,603,6,1,N,N,1,2,1,1,0,0
1.66001E+11,6,6,7,8,8,24,1.66001E+11,44263632,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E SAN FERNANDO,I.E SAN FERNANDO,12,8,2,1,9,99,9,0,3,0,0,6,4,6,1,N,N,1,1,0,0,0,0
1.66001E+11,6,7,9,10,999,999,999,44344802,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MATECA?A,I.E MATECA?A sede FRANCISCO PEREIRA,1,3,1,1,9,99,9,0,6,0,0,6,D,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,7,8,24,24,999,999,44344998,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MATECA?A,I.E MATECA?A sede FRANCISCO PEREIRA,1,3,1,1,9,8,9,0,6,0,0,6,D,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,24,999,24,25,26,1.66001E+11,44347242,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,3,2,9,99,9,0,3,0,0,6,C,6,1,N,S,1,1,4,3,0,0
1.66001E+11,6,9,10,999,999,999,999,44348754,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E CARLOTA SANCHEZ,I.E CARLOTA SANCHEZ,26,4,2,1,9,8,9,0,2,0,0,6,CMR1,6,29,N,N,1,1,1,1,0,0
1.66001E+11,6,999,23,999,999,999,999,44357512,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E GIMNASIO RISARALDA,I.E GIMNASIO RISARALDA,26,4,1,1,9,99,9,0,3,0,0,6,6B,6,1,N,N,1,2,1,1,0,0
1.66001E+11,6,8,9,10,11,999,999,44357941,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS,31,7,1,1,1,99,9,0,3,0,0,6,604,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,7,8,999,999,999,999,44368371,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E LA JULITA,I.E LA JULITA,30,3,3,2,9,99,9,0,6,0,0,6,602,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,999,999,23,999,999,999,44368403,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E LA JULITA,I.E LA JULITA,30,3,2,1,9,99,9,0,6,0,0,6,603,6,1,N,S,1,1,1,1,0,0
2.66001E+11,6,7,8,9,10,11,2.66001E+11,44370552,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E JOSE ANTONIO GALAN,I.E JOSE ANTONIO GALAN,29,1,1,2,9,8,9,0,6,0,0,6,602,6,1,N,N,1,2,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,44476155,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E HANS DREWS ARANGO,I.E HANS DREWS ARANGO,27,2,2,2,9,18,9,0,2,0,0,6,601,6,29,N,N,1,1,0,0,0,0
2.66001E+11,6,23,999,999,999,999,999,44486806,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E GONZALO MEJIA ECHEVERRY,I.E GONZALO MEJIA ECHEVERRY,2,1,1,2,9,99,9,0,6,0,0,6,D,6,1,N,N,1,2,1,1,0,0
1.66001E+11,6,8,8,9,25,26,1.66001E+11,44610040,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E GIMNASIO RISARALDA,I.E GIMNASIO RISARALDA,26,4,2,2,9,8,9,0,3,0,0,6,6A,6,1,N,S,1,1,1,1,0,0
2.66001E+11,6,999,999,999,23,24,2.66001E+11,44611364,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E COMUNITARIO CERRITOS,I.E COMUNITARIO CERRITOS,7,6,1,1,9,99,9,0,3,0,0,6,601,6,1,N,S,1,2,1,1,0,0
2.66001E+11,6,6,6,7,24,26,2.66001E+11,44611368,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E COMUNITARIO CERRITOS,I.E COMUNITARIO CERRITOS,7,6,1,1,9,99,9,0,3,0,0,6,601,6,1,N,N,1,2,1,1,0,0
